City,Status,FSA,Neighborhood,UP2,Collections,Address,Mint Price,Last Price,Owner EOS,Owner,Ownership Changed At,Currency,Markup,Structure,Structure Name,Yield Per Month,Yield Per Month (Max),Property ID,Sale Price,Price Per UP2,UPX.Per.UP2
Cleveland,Owned,FALSE,WOODLAND HILLS,70,"[{""name"":""Clevelander"",""yield_boost"":1.25}]",2635 E 93 ST,3640,3640,i5aik4ltprzh,alchemy,2021-07-08T17:22:34.500Z,,,,,44.03,55.04,81857868316014,,,
Chicago,Owned,FALSE,GARFIELD PARK,28,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",2846 W VAN BUREN ST,3808,3808,i5aik4ltprzh,alchemy,2021-07-09T20:32:48.000Z,,,,,46.06,58.96,82100013690195,,,
Cleveland,Owned,FALSE,BUCKEYE SHAKER,48,"[{""name"":""Clevelander"",""yield_boost"":1.25}]",2817 E 120TH ST,3840,3840,i5aik4ltprzh,alchemy,2021-07-01T20:33:13.500Z,,,,,46.45,58.06,81854512873449,,,
Cleveland,Owned,FALSE,BUCKEYE SHAKER,48,"[{""name"":""Clevelander"",""yield_boost"":1.25}]",2820 E 120TH ST,3840,3840,i5aik4ltprzh,alchemy,2021-07-01T20:32:04.000Z,,,,,46.45,58.06,81854445764568,,,
Chicago,Owned,FALSE,ROGERS PARK,35,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",1636 W LUNT AVE,3990,3990,i5aik4ltprzh,alchemy,2021-06-13T22:07:55.500Z,,,,,48.26,61.78,82183044127776,,,
Chicago,Owned,FALSE,WEST PULLMAN,49,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",12515 S EDBROOKE AVE,4018,4018,i5aik4ltprzh,alchemy,2021-06-13T08:38:51.500Z,,,,,48.6,62.21,81969184969720,,,
Fresno,Owned,FALSE,NORTH GROWTH AREA,141,"[{""name"":""The Fresno"",""yield_boost"":1.2},{""name"":""North Growth Area"",""yield_boost"":1.6}]",11362 N GLENCASTLE WAY,4018.5,13000,i5aik4ltprzh,alchemy,2021-08-01T19:49:55.500Z,,,,,48.61,77.77,79003240842933,,,
Chicago,Owned,FALSE,SOUTH DEERING,44,"[{""name"":""Chicagoan"",""yield_boost"":1.28}]",9626 S CRANDON AVE,4048,4048,i5aik4ltprzh,alchemy,2021-07-25T03:11:12.000Z,,,,,48.96,62.67,82003158830974,,,
San Francisco,Owned,FALSE,DOGPATCH,24,"[{""name"":""San Franciscan"",""yield_boost"":1.2}]",675 TENNESSEE ST,4080,8000,i5aik4ltprzh,alchemy,2020-12-12T20:53:58.000Z,,,completed,smltwnhouse2,49.35,59.22,79539658672432,,,
Oakland,Owned,FALSE,HIGHLAND TERRACE,59,"[{""name"":""The East Bay"",""yield_boost"":1.25}]",2139 E 22ND ST,4130,4130,i5aik4ltprzh,alchemy,2021-05-05T06:43:42.000Z,,,,,49.96,62.45,79556284898087,,,
Cleveland,Owned,FALSE,FAIRFAX,54,"[{""name"":""Clevelander"",""yield_boost"":1.25}]",2267 E 83RD ST,4158,4158,i5aik4ltprzh,alchemy,2021-07-08T17:09:32.000Z,,,,,50.3,62.87,81863991999630,,,
